SECT_NAME,SECT_CODE,LIE_NAME,LIE_CODE,LI_NO,SDFKEY,SDFNAME,area
大安區,6300300,民輝里,6300300007,020,6300300007020,民輝里20鄰,5131.87403810000
萬華區,6300700,菜園里,6300700005,001,6300700005001,菜園里1鄰,20884.79946310000
信義區,6300200,四維里,6300200017,007,6300200017007,四維里7鄰,1785.58382176000
萬華區,6300700,萬壽里,6300700002,005,6300700002005,萬壽里5鄰,14827.26833190000
信義區,6300200,四維里,6300200017,008,6300200017008,四維里8鄰,1674.67432056000
信義區,6300200,永春里,6300200018,020,6300200018020,永春里20鄰,3746.48836985000
大安區,6300300,昌隆里,6300300008,015,6300300008015,昌隆里15鄰,81180.07707800000
大安區,6300300,建安里,6300300049,002,6300300049002,建安里2鄰,10709.04468950000
南港區,6300900,鴻福里,6300900013,013,6300900013013,鴻福里13鄰,5009.78542246000
大安區,6300300,誠安里,6300300009,014,6300300009014,誠安里14鄰,10866.35419240000
大安區,6300300,華聲里,6300300054,003,6300300054003,華聲里3鄰,4685.11824088000
南港區,6300900,成福里,6300900011,012,6300900011012,成福里12鄰,141607.03308300000
南港區,6300900,鴻福里,6300900013,005,6300900013005,鴻福里5鄰,2242.52815443000
信義區,6300200,永春里,6300200018,003,6300200018003,永春里3鄰,2829.59279839000
南港區,6300900,中研里,6300900017,010,6300900017010,中研里10鄰,28583.77203290000
信義區,6300200,敦厚里,6300200007,007,6300200007007,敦厚里7鄰,4478.08875640000
大安區,6300300,誠安里,6300300009,012,6300300009012,誠安里12鄰,8997.77143606000
信義區,6300200,永春里,6300200018,004,6300200018004,永春里4鄰,3952.26560272000
松山區,6300100,吉仁里,6300100029,015,6300100029015,吉仁里15鄰,3270.19254842000
大安區,6300300,華聲里,6300300054,004,6300300054004,華聲里4鄰,3574.89394865000
南港區,6300900,鴻福里,6300900013,004,6300900013004,鴻福里4鄰,6172.48199855000
南港區,6300900,新光里,6300900006,015,6300900006015,新光里15鄰,4261.82366542000
萬華區,6300700,萬壽里,6300700002,007,6300700002007,萬壽里7鄰,10758.55704820000
大安區,6300300,建安里,6300300049,003,6300300049003,建安里3鄰,9582.49178806000
南港區,6300900,成福里,6300900011,020,6300900011020,成福里20鄰,61824.53854900000
信義區,6300200,六藝里,6300200010,006,6300200010006,六藝里6鄰,3787.58931022000
萬華區,6300700,菜園里,6300700005,007,6300700005007,菜園里7鄰,56102.95947890000
信義區,6300200,五全里,6300200013,003,6300200013003,五全里3鄰,4422.32196351000
南港區,6300900,鴻福里,6300900013,006,6300900013006,鴻福里6鄰,2707.93107138000
信義區,6300200,五全里,6300200013,004,6300200013004,五全里4鄰,3696.29304030000
信義區,6300200,敦厚里,6300200007,015,6300200007015,敦厚里15鄰,4410.51405170000
信義區,6300200,五全里,6300200013,012,6300200013012,五全里12鄰,3361.20842485000
信義區,6300200,新仁里,6300200005,022,6300200005022,新仁里22鄰,6192.27984828000
大安區,6300300,光武里,6300300010,019,6300300010019,光武里19鄰,5000.49927421000
中正區,6300500,幸福里,6300500026,004,6300500026004,幸福里4鄰,15456.42814530000
信義區,6300200,五全里,6300200013,013,6300200013013,五全里13鄰,2740.54746145000
南港區,6300900,萬福里,6300900012,007,6300900012007,萬福里7鄰,2755.98950291000
萬華區,6300700,萬壽里,6300700002,003,6300700002003,萬壽里3鄰,13559.59762780000
大安區,6300300,建安里,6300300049,008,6300300049008,建安里8鄰,8046.25739694000
大安區,6300300,華聲里,6300300054,006,6300300054006,華聲里6鄰,33837.33315360000
南港區,6300900,鴻福里,6300900013,007,6300900013007,鴻福里7鄰,2950.80144829000
大安區,6300300,建安里,6300300049,009,6300300049009,建安里9鄰,6762.20748326000
大安區,6300300,民輝里,6300300007,016,6300300007016,民輝里16鄰,103188.94497600000
南港區,6300900,成福里,6300900011,015,6300900011015,成福里15鄰,13931.63501070000
大安區,6300300,車層里,6300300055,001,6300300055001,車層里1鄰,9380.34674492000
中正區,6300500,黎明里,6300500024,013,6300500024013,黎明里13鄰,11017.06413130000
南港區,6300900,萬福里,6300900012,018,6300900012018,萬福里18鄰,2951.87120250000
信義區,6300200,五全里,6300200013,014,6300200013014,五全里14鄰,3267.59582120000
信義區,6300200,敦厚里,6300200007,009,6300200007009,敦厚里9鄰,7190.52927543000
南港區,6300900,鴻福里,6300900013,015,6300900013015,鴻福里15鄰,5212.62989351000
信義區,6300200,五全里,6300200013,015,6300200013015,五全里15鄰,3660.87772167000
信義區,6300200,四維里,6300200017,013,6300200017013,四維里13鄰,5307.46318978000
信義區,6300200,四維里,6300200017,012,6300200017012,四維里12鄰,3571.12488881000
信義區,6300200,敦厚里,6300200007,006,6300200007006,敦厚里6鄰,4767.94271110000
大安區,6300300,誠安里,6300300009,016,6300300009016,誠安里16鄰,2953.76534059000
信義區,6300200,新仁里,6300200005,010,6300200005010,新仁里10鄰,1966.49315223000
大安區,6300300,光武里,6300300010,013,6300300010013,光武里13鄰,4735.08782424000
信義區,6300200,四維里,6300200017,018,6300200017018,四維里18鄰,1697.92791014000
信義區,6300200,四維里,6300200017,017,6300200017017,四維里17鄰,2069.04354976000
