CID,CNAME,CADDR,Response_Address,Response_X,Response_Y
12247540,九藝企業有限公司,臺北市松山區南京東路4段197號5樓之1,臺北市松山區東勢里14鄰南京東路四段197號,306196.048,2771626.316
12349075,瑞端室內裝修設計有限公司,臺北市信義區信義路4段401號7樓,臺北市信義區中興里11鄰信義路四段401號,306383.163,2769577.729
12427521,尚儷室內裝修股份有限公司,臺北市信義區信安街149號2樓之1,臺北市信義區黎平里10鄰信安街149號,306060.539,2768434.909
12434467,美翔室內裝修有限公司,臺北市北投區大度路怡和巷4弄11號1樓,臺北市北投區八仙里14鄰大度路怡和巷4弄11號,300045.003,2779417.674
12439370,雍上企業有限公司,臺北市內湖區內湖路1段91巷17號10樓之2,臺北市內湖區西康里8鄰內湖路一段91巷17號,306685.163,2775404.567
12461554,楓雅室內裝修設計有限公司,臺北市中山區明水路379號1樓,臺北市中山區永安里4鄰明水路379號,305041.502,2774493.56
12484276,翔協室內裝修股份有限公司,臺北市內湖區新湖三路191號2樓,臺北市內湖區湖元里18鄰新湖三路191號,308553.624,2773120.797
12509749,世群室內裝修設計工程有限公司,臺北市大同區敦煌路臨49號,臺北市大同區重慶里13鄰敦煌路49號,302131.057,2774317.94
12527789,優適設計企業有限公司,臺北市松山區復興北路167號8樓之3,臺北市松山區中正里32鄰復興北路167號,304918.794,2771857.892
12535916,上富室內裝修工程有限公司,臺北市北投區懷德街78巷6號1樓,臺北市北投區振華里22鄰懷德街78巷6號,302440.002,2778445.575
12538619,欣邑室內裝修工程股份有限公司,臺北市內湖區洲子街76號8樓,臺北市內湖區港墘里20鄰洲子街76號,307671.364,2774669.362
12541044,家王室內裝修股份有限公司,臺北市松山區民生東路5段36巷8弄9之3號,臺北市松山區介壽里20鄰民生東路五段36巷8弄9之3號,306467.394,2772245.88
12651029,璿禾室內裝修設計工程有限公司,臺北市內湖區堤頂大道1段327號3樓,臺北市內湖區湖元里18鄰堤頂大道一段327號,307812.313,2772790.134
12653238,大石亦方室內裝修有限公司,臺北市大安區仁愛路４段４號５樓,臺北市大安區仁慈里16鄰仁愛路四段4號,304909.843,2770060.603
12655088,帝凡內室內裝修有限公司,臺北市大安區通化街200巷31號1樓,臺北市大安區法治里11鄰通化街200巷31號,305695.718,2768974.707
12658557,藍芽室內裝修有限公司,臺北市大同區重慶北路1段87之1號4樓,臺北市大同區建功里5鄰重慶北路一段87之1號,301892.257,2771745.368
12659042,大譯室內裝修設計有限公司,臺北市松山區健康路１７０之１號,臺北市松山區東光里6鄰健康路170之1號,306327.121,2771802.22
12664283,匯亞室內裝修有限公司,臺北市中正區汀州路２段２３３號１樓,臺北市中正區頂東里17鄰汀州路二段233號,302772.318,2768467.829
12665570,力斌室內裝修實業有限公司,臺北市大同區寧夏路115號,臺北市大同區民權里10鄰寧夏路115號,301926.157,2772535.392
12666769,王象室內裝修設計工程有限公司,臺北市士林區文林路765號6樓之3,臺北市士林區德華里18鄰文林路765號,302340.928,2777319.061
12666819,里奧室內裝修設計工程股份有限公司,臺北市南港區向陽路162巷1號1樓,臺北市南港區重陽里10鄰向陽路162巷1號,309966.279,2772099.797
12668274,逸豐室內裝修設計有限公司,臺北市北投區西安街1段183號2樓,臺北市北投區石牌里15鄰西安街一段183號,302267.518,2778066.454
12670145,方圓室內裝修有限公司,臺北市大安區永康街１２之１號,臺北市大安區永康里3鄰永康街12之1號,303433.956,2769379.675
12671600,津成室內裝修工程有限公司,臺北市信義區永吉路200巷41弄12號,臺北市信義區五全里16鄰永吉路200巷41弄12號,307821.118,2770791.057
12673494,羽翎室內裝修設計有限公司,臺北市中山區南京東路３段２０１號３樓之１,臺北市中山區復華里11鄰南京東路三段201號,304739.508,2771656.976
12676289,敦麗室內裝修設計工程有限公司,臺北市大安區敦化南路2段32號11樓之1,臺北市大安區住安里20鄰敦化南路二段32號,305343.982,2769433.854
12678527,三商美福室內裝修股份有限公司,臺北市中山區建國北路2段145號18樓,臺北市中山區江寧里1鄰建國北路二段145號,304216.143,2772670.375
12683021,泛邑室內裝修設計有限公司,臺北市松山區敦化北路２２２巷３２號１樓,臺北市松山區民有里14鄰敦化北路222巷32號,305222.717,2772507.937
12686076,閎奕國際室內裝修股份有限公司,臺北市松山區復興北路181號5樓之4,臺北市松山區松基里1鄰復興北路181號,304920.001,2771951.884
12690851,台灣金明室內裝修設計國際有限公司,臺北市大安區忠孝東路4段178之1號12樓,臺北市大安區建倫里1鄰忠孝東路四段178之1號,305643.711,2770461.202
12694250,<U+6ED9>豐室內裝修工程股份有限公司,臺北市中山區林森北路50號6樓之3,臺北市中山區正得里6鄰林森北路50號,302892.584,2771234.657
12696166,活石室內裝修設計有限公司,臺北市松山區富錦街356號5樓,臺北市松山區東榮里22鄰富錦街356號,306285.448,2772588.051
12696588,日谷室內裝修設計有限公司,臺北市松山區延壽街385號1樓,臺北市松山區介壽里8鄰延壽街385號,306274.523,2772153.471
12697329,冠衡室內裝修工程股份有限公司,臺北市信義區仁愛路4段440號2樓,臺北市信義區正和里2鄰仁愛路四段440號,306357.171,2770029.165
12697545,悅華室內裝修設計工程有限公司,臺北市中正區忠孝東路1段152號9樓之3,臺北市中正區幸福里7鄰忠孝東路一段152號,303067.918,2770752.065
12699380,冠廷室內裝修工程有限公司,臺北市信義區基隆路1段149號7樓之1,臺北市信義區興雅里6鄰基隆路一段149號,307067.554,2770610.978
12704644,萱橋室內裝修實業有限公司,臺北市士林區中山北路5段740巷6弄2號1樓,臺北市士林區福志里23鄰中山北路五段740巷6弄2號,303218.137,2776830.488
12779150,瑪雅室內裝修設計工程有限公司,臺北市大安區忠孝東路4段142號8樓,臺北市大安區建倫里1鄰忠孝東路四段142號,305435.731,2770464.431
12781888,三碩室內裝修工程有限公司,臺北市大安區復興南路2段133號4樓,臺北市大安區龍雲里7鄰復興南路二段133號,304870.056,2769085.859
