"Response_X","Response_Y","R_cat","P_cat","M_cat"
307547.182,2771479.719,3,1,0
307543.08,2771488.772,1,0,1
307564.385,2771474.552,4,0,0
307617.406,2771440.664,4,0,0
307622.399,2771439.541,1,2,0
307629.338,2771437.895,1,0,0
307515.852,2771385.13,1,0,0
307642.385,2771435.965,1,0,0
307545.958,2771398.247,1,0,0
307555.593,2771402.388,1,1,1
307571.809,2771385.352,1,0,0
307686.567,2771437.878,1,0,0
307581.648,2771404.975,1,0,0
306450.313,2771237.837,1,0,0
307585.095,2771405.312,1,0,1
307596.521,2771406.432,2,1,0
307589.917,2771405.785,3,1,0
307619.281,2771405.469,1,0,0
306459.405,2771265.97,1,0,0
307889.297,2771453.618,1,0,0
307891.057,2771454.788,2,0,0
307947.112,2771454.911,1,0,0
306476.094,2771267.594,1,0,0
307779.924,2771416.098,27,15,5
307790.617,2771410.693,1,0,0
307790.93,2771417.049,1,0,0
307786.185,2771407.044,1,0,0
307788.146,2771416.168,20,20,3
307876.974,2771418.314,7,0,0
307883.875,2771418.404,6,0,0
306482.031,2771268.248,1,0,0
308022.102,2771421.574,28,8,0
308061.06,2771458.621,1,0,0
308059.862,2771422.659,27,16,0
306491.212,2771269.259,1,0,0
308102.667,2771422.507,20,3,2
308130.146,2771424.222,23,12,2
308104.835,2771460.035,1,0,0
308131.776,2771463.622,1,0,0
308158.912,2771461.551,1,0,0
308218.126,2771499.186,2,0,0
306507.095,2771244.28,3,0,0
306503.691,2771270.632,3,2,0
308255.294,2771464.617,2,0,0
308261.009,2771464.83,2,0,0
306516.382,2771128.779,0,0,1
306468.054,2771095.767,1,0,0
306501.122,2771086.028,2,0,1
306522.871,2771070.605,2,0,0
306510.17,2771233.286,1,0,0
308276.193,2771480.038,1,0,0
308275.158,2771491.121,1,0,0
306522.83,2771245.755,1,0,0
308316.822,2771588.359,1,0,0
308313.424,2771572.682,14,5,3
308583.188,2771440.776,3,3,0
308530.453,2771480.624,1,0,0
308346.255,2771581.359,1,0,0
308343.946,2771591.93,5,1,1
308359.189,2771579.491,1,0,0
308364.461,2771581.208,1,0,0
308367.817,2771582.108,2,0,1
308370.399,2771582.952,1,0,0
308373.204,2771583.867,1,0,0
308376.716,2771584.955,1,0,0
308382.391,2771586.795,7,4,1
308384.571,2771587.503,6,2,4
308404.885,2771594.607,1,0,0
308492.854,2771643.998,0,0,1
308455.82,2771624.879,1,0,0
308477.564,2771612.847,1,0,0
306537.586,2771274.431,9,0,0
308531.639,2771525.968,4,2,0
308535.649,2771534.894,11,7,1
308561.823,2771531.486,1,0,0
308581.922,2771540.943,1,0,0
308590.212,2771544.982,4,2,1
308621.131,2771555.579,1,0,0
308634.867,2771561.799,1,0,0
308664.539,2771575.237,1,0,0
306561.79,2771250.112,2,0,0
306571.417,2771251.189,1,1,0
306576.402,2771251.747,1,0,0
301483.056,2769016.315,1,0,0
