"admin","R_cat","P_cat","M_cat","max_cat"
"«O¼w¨½4¾F",4,0,0,"R_cat"
"«O¼w¨½5¾F",2,0,1,"R_cat"
"«O¼w¨½6¾F",5,2,1,"R_cat"
"«O¼w¨½7¾F",1,1,1,"R_cat"
"«O¼w¨½8¾F",4,1,0,"R_cat"
"«O¼w¨½9¾F",3,0,0,"R_cat"
"«e´ä¨½10¾F",5,3,1,"R_cat"
"«e´ä¨½11¾F",1,0,0,"R_cat"
"«e´ä¨½12¾F",1,1,0,"R_cat"
"«e´ä¨½13¾F",10,4,1,"R_cat"
"«e´ä¨½1¾F",22,6,2,"R_cat"
"«e´ä¨½2¾F",73,36,8,"R_cat"
"«e´ä¨½3¾F",43,28,4,"R_cat"
"«e´ä¨½4¾F",15,2,0,"R_cat"
"«e´ä¨½5¾F",9,2,0,"R_cat"
"«e´ä¨½6¾F",60,32,8,"R_cat"
"«e´ä¨½7¾F",1,0,0,"R_cat"
"«e´ä¨½8¾F",10,1,2,"R_cat"
"«e´ä¨½9¾F",6,4,1,"R_cat"
"«nªÚ¨½10¾F",7,1,0,"R_cat"
"«nªÚ¨½11¾F",3,2,1,"R_cat"
"«nªÚ¨½12¾F",18,8,1,"R_cat"
"«nªÚ¨½13¾F",7,2,1,"R_cat"
"«nªÚ¨½14¾F",15,5,4,"R_cat"
"«nªÚ¨½15¾F",7,1,0,"R_cat"
"«nªÚ¨½16¾F",6,2,1,"R_cat"
"«nªÚ¨½1¾F",15,2,0,"R_cat"
"«nªÚ¨½2¾F",25,13,3,"R_cat"
"«nªÚ¨½3¾F",31,10,2,"R_cat"
"«nªÚ¨½4¾F",4,2,0,"R_cat"
"«nªÚ¨½5¾F",2,0,0,"R_cat"
"«nªÚ¨½6¾F",5,0,0,"R_cat"
"«nªÚ¨½8¾F",5,0,1,"R_cat"
"«nªÚ¨½9¾F",14,4,1,"R_cat"
"«nªù¨½11¾F",10,0,0,"R_cat"
"«nªù¨½12¾F",1,0,1,"M_cat"
"«nªù¨½13¾F",8,1,0,"R_cat"
"«nªù¨½14¾F",1,1,0,"P_cat"
"«nªù¨½15¾F",3,2,0,"R_cat"
"«nªù¨½16¾F",4,2,0,"R_cat"
"«nªù¨½1¾F",6,2,0,"R_cat"
"«nªù¨½2¾F",2,0,0,"R_cat"
"«nªù¨½3¾F",1,1,0,"P_cat"
"«nªù¨½5¾F",0,0,1,"M_cat"
"«nªù¨½7¾F",9,5,0,"R_cat"
"«nªù¨½8¾F",1,0,0,"R_cat"
"«n´ä¨½10¾F",16,5,1,"R_cat"
"«n´ä¨½11¾F",7,1,1,"R_cat"
"«n´ä¨½12¾F",4,4,3,"R_cat"
"«n´ä¨½13¾F",6,5,2,"R_cat"
"«n´ä¨½14¾F",7,3,1,"R_cat"
"«n´ä¨½15¾F",4,2,3,"R_cat"
"«n´ä¨½16¾F",2,3,2,"P_cat"
"«n´ä¨½17¾F",2,2,0,"P_cat"
"«n´ä¨½18¾F",13,4,0,"R_cat"
"«n´ä¨½19¾F",20,14,5,"R_cat"
"«n´ä¨½1¾F",7,5,0,"R_cat"
"«n´ä¨½20¾F",5,1,0,"R_cat"
"«n´ä¨½21¾F",9,4,1,"R_cat"
"«n´ä¨½22¾F",7,0,2,"R_cat"
"«n´ä¨½23¾F",48,24,6,"R_cat"
"«n´ä¨½2¾F",3,0,0,"R_cat"
"«n´ä¨½3¾F",4,1,1,"R_cat"
"«n´ä¨½4¾F",11,6,1,"R_cat"
"«n´ä¨½5¾F",13,7,3,"R_cat"
"«n´ä¨½6¾F",7,3,1,"R_cat"
"«n´ä¨½7¾F",7,1,1,"R_cat"
"«n´ä¨½8¾F",7,3,1,"R_cat"
"«n´ä¨½9¾F",11,3,1,"R_cat"
"«n´ò¨½11¾F",6,2,3,"R_cat"
"«n´ò¨½1¾F",1,0,0,"R_cat"
"«n´ò¨½2¾F",11,4,6,"R_cat"
"«n´ò¨½3¾F",3,0,0,"R_cat"
"«n´ò¨½4¾F",3,0,0,"R_cat"
"«n´ò¨½5¾F",20,2,4,"R_cat"
"«n´ò¨½6¾F",3,0,0,"R_cat"
"«n´ò¨½7¾F",5,1,1,"R_cat"
"«n´ò¨½8¾F",1,1,0,"R_cat"
"«n´ò¨½9¾F",2,0,0,"R_cat"
"«nºÖ¨½10¾F",8,7,2,"R_cat"
"«nºÖ¨½11¾F",2,0,1,"R_cat"
"«nºÖ¨½12¾F",8,5,2,"R_cat"
"«nºÖ¨½13¾F",19,5,6,"R_cat"
"«nºÖ¨½14¾F",9,6,0,"R_cat"
"«nºÖ¨½15¾F",2,3,2,"P_cat"
"«nºÖ¨½16¾F",30,21,4,"R_cat"
"«nºÖ¨½17¾F",19,11,1,"R_cat"
"«nºÖ¨½18¾F",13,14,1,"P_cat"
"«nºÖ¨½19¾F",15,6,2,"R_cat"
"«nºÖ¨½1¾F",29,23,6,"R_cat"
"«nºÖ¨½20¾F",14,5,3,"R_cat"
"«nºÖ¨½21¾F",4,3,1,"R_cat"
"«nºÖ¨½22¾F",10,1,0,"R_cat"
"«nºÖ¨½23¾F",3,2,1,"R_cat"
"«nºÖ¨½24¾F",23,20,8,"R_cat"
"«nºÖ¨½25¾F",7,2,0,"R_cat"
"«nºÖ¨½26¾F",6,1,0,"R_cat"
"«nºÖ¨½27¾F",11,4,1,"R_cat"
"«nºÖ¨½28¾F",20,10,2,"R_cat"
"«nºÖ¨½29¾F",5,0,0,"R_cat"
"«nºÖ¨½2¾F",35,32,7,"R_cat"
"«nºÖ¨½3¾F",35,21,3,"R_cat"
"«nºÖ¨½4¾F",6,5,1,"R_cat"
"«nºÖ¨½5¾F",4,2,3,"R_cat"
"«nºÖ¨½6¾F",10,12,0,"P_cat"
"«nºÖ¨½7¾F",7,4,3,"R_cat"
"«nºÖ¨½8¾F",34,22,5,"R_cat"
"«nºÖ¨½9¾F",8,0,2,"R_cat"
"«Ø¥\¨½10¾F",1,0,0,"R_cat"
"«Ø¥\¨½11¾F",37,11,3,"R_cat"
"«Ø¥\¨½12¾F",13,4,3,"R_cat"
"«Ø¥\¨½13¾F",8,4,1,"R_cat"
"«Ø¥\¨½14¾F",7,3,0,"R_cat"
"«Ø¥\¨½15¾F",22,5,1,"R_cat"
"«Ø¥\¨½16¾F",34,31,3,"R_cat"
"«Ø¥\¨½17¾F",4,0,0,"R_cat"
"«Ø¥\¨½18¾F",34,5,0,"R_cat"
"«Ø¥\¨½19¾F",46,11,7,"R_cat"
"«Ø¥\¨½1¾F",12,2,0,"R_cat"
"«Ø¥\¨½20¾F",25,7,1,"R_cat"
"«Ø¥\¨½21¾F",20,5,5,"R_cat"
"«Ø¥\¨½22¾F",25,7,2,"R_cat"
"«Ø¥\¨½2¾F",7,0,1,"R_cat"
"«Ø¥\¨½3¾F",14,5,1,"R_cat"
"«Ø¥\¨½4¾F",15,5,1,"R_cat"
"«Ø¥\¨½5¾F",33,2,1,"R_cat"
"«Ø¥\¨½6¾F",6,2,0,"R_cat"
"«Ø¥\¨½7¾F",14,8,2,"R_cat"
"«Ø¥\¨½8¾F",26,9,6,"R_cat"
"«Ø¥\¨½9¾F",8,1,0,"R_cat"
"«Ø¥Á¨½10¾F",4,0,0,"R_cat"
"«Ø¥Á¨½11¾F",5,0,1,"R_cat"
"«Ø¥Á¨½12¾F",3,0,0,"R_cat"
"«Ø¥Á¨½14¾F",8,3,0,"R_cat"
"«Ø¥Á¨½15¾F",5,2,0,"R_cat"
"«Ø¥Á¨½16¾F",3,2,1,"R_cat"
"«Ø¥Á¨½17¾F",5,3,0,"R_cat"
"«Ø¥Á¨½18¾F",3,2,0,"R_cat"
"«Ø¥Á¨½19¾F",5,2,1,"R_cat"
"«Ø¥Á¨½20¾F",14,2,1,"R_cat"
"«Ø¥Á¨½3¾F",6,0,2,"R_cat"
"«Ø¥Á¨½4¾F",1,0,0,"R_cat"
"«Ø¥Á¨½5¾F",1,1,0,"R_cat"
"«Ø¥Á¨½6¾F",1,1,0,"P_cat"
"«Ø¥Á¨½7¾F",2,0,0,"R_cat"
"«Ø¥Á¨½8¾F",6,0,4,"R_cat"
"«Ø¥Á¨½9¾F",8,2,2,"R_cat"
"«Ø¦w¨½10¾F",27,1,1,"R_cat"
"«Ø¦w¨½11¾F",30,2,0,"R_cat"
"«Ø¦w¨½12¾F",18,5,1,"R_cat"
"«Ø¦w¨½13¾F",18,0,1,"R_cat"
"«Ø¦w¨½14¾F",18,8,1,"R_cat"
"«Ø¦w¨½15¾F",177,118,17,"R_cat"
"«Ø¦w¨½16¾F",330,258,37,"R_cat"
"«Ø¦w¨½17¾F",34,5,0,"R_cat"
"«Ø¦w¨½18¾F",76,36,11,"R_cat"
"«Ø¦w¨½19¾F",25,4,1,"R_cat"
"«Ø¦w¨½1¾F",55,11,2,"R_cat"
"«Ø¦w¨½20¾F",232,183,28,"R_cat"
"«Ø¦w¨½2¾F",38,24,7,"R_cat"
"«Ø¦w¨½3¾F",30,5,0,"R_cat"
"«Ø¦w¨½4¾F",14,8,2,"R_cat"
"«Ø¦w¨½5¾F",26,2,2,"R_cat"
"«Ø¦w¨½6¾F",32,5,1,"R_cat"
"«Ø¦w¨½7¾F",23,3,1,"R_cat"
"«Ø¦w¨½8¾F",39,9,2,"R_cat"
"«Ø¦w¨½9¾F",21,7,1,"R_cat"
"«Ø©ú¨½10¾F",17,0,2,"R_cat"
"«Ø©ú¨½11¾F",51,29,3,"R_cat"
"«Ø©ú¨½12¾F",16,1,1,"R_cat"
"«Ø©ú¨½13¾F",31,17,2,"R_cat"
"«Ø©ú¨½14¾F",43,13,1,"R_cat"
"«Ø©ú¨½15¾F",41,13,0,"R_cat"
"«Ø©ú¨½16¾F",16,3,2,"R_cat"
"«Ø©ú¨½17¾F",22,2,0,"R_cat"
"«Ø©ú¨½18¾F",49,19,5,"R_cat"
"«Ø©ú¨½19¾F",3,2,1,"R_cat"
"«Ø©ú¨½1¾F",43,27,8,"R_cat"
"«Ø©ú¨½20¾F",3,2,1,"R_cat"
"«Ø©ú¨½22¾F",1,0,0,"R_cat"
"«Ø©ú¨½23¾F",6,4,1,"R_cat"
"«Ø©ú¨½25¾F",73,56,7,"R_cat"
"«Ø©ú¨½2¾F",55,29,5,"R_cat"
"«Ø©ú¨½3¾F",18,9,4,"R_cat"
"«Ø©ú¨½4¾F",44,8,3,"R_cat"
"«Ø©ú¨½5¾F",28,25,3,"R_cat"
"«Ø©ú¨½6¾F",15,4,1,"R_cat"
"«Ø©ú¨½7¾F",27,1,0,"R_cat"
"«Ø©ú¨½8¾F",47,41,3,"R_cat"
"«Ø©ú¨½9¾F",17,8,1,"R_cat"
"«Ø­Û¨½10¾F",17,6,2,"R_cat"
"«Ø­Û¨½11¾F",18,4,0,"R_cat"
"«Ø­Û¨½12¾F",25,4,1,"R_cat"
"«Ø­Û¨½13¾F",24,5,1,"R_cat"
"«Ø­Û¨½14¾F",20,2,0,"R_cat"
"«Ø­Û¨½15¾F",21,2,3,"R_cat"
"«Ø­Û¨½16¾F",24,5,0,"R_cat"
"«Ø­Û¨½17¾F",17,12,1,"R_cat"
"«Ø­Û¨½18¾F",10,3,0,"R_cat"
"«Ø­Û¨½19¾F",6,1,0,"R_cat"
"«Ø­Û¨½1¾F",361,266,46,"R_cat"
"«Ø­Û¨½20¾F",29,26,2,"R_cat"
"«Ø­Û¨½21¾F",21,5,1,"R_cat"
"«Ø­Û¨½22¾F",10,2,0,"R_cat"
"«Ø­Û¨½23¾F",18,0,1,"R_cat"
"«Ø­Û¨½24¾F",7,0,2,"R_cat"
"«Ø­Û¨½2¾F",51,36,5,"R_cat"
"«Ø­Û¨½3¾F",48,45,3,"R_cat"
"«Ø­Û¨½4¾F",29,20,3,"R_cat"
"«Ø­Û¨½5¾F",80,48,6,"R_cat"
"«Ø­Û¨½6¾F",26,19,8,"R_cat"
"«Ø­Û¨½7¾F",12,13,3,"P_cat"
"«Ø­Û¨½8¾F",15,2,1,"R_cat"
"«Ø­Û¨½9¾F",57,42,7,"R_cat"
"«Ø®õ¨½10¾F",10,7,2,"R_cat"
"«Ø®õ¨½11¾F",3,3,0,"R_cat"
"«Ø®õ¨½12¾F",11,5,1,"R_cat"
"«Ø®õ¨½13¾F",21,11,0,"R_cat"
"«Ø®õ¨½14¾F",59,29,7,"R_cat"
"«Ø®õ¨½15¾F",20,3,6,"R_cat"
"«Ø®õ¨½16¾F",23,11,0,"R_cat"
"«Ø®õ¨½17¾F",47,23,9,"R_cat"
"«Ø®õ¨½18¾F",17,3,1,"R_cat"
"«Ø®õ¨½19¾F",4,2,0,"R_cat"
"«Ø®õ¨½1¾F",19,8,3,"R_cat"
"«Ø®õ¨½2¾F",45,36,5,"R_cat"
"«Ø®õ¨½3¾F",6,0,0,"R_cat"
"«Ø®õ¨½4¾F",11,0,0,"R_cat"
"«Ø®õ¨½5¾F",76,26,4,"R_cat"
"«Ø®õ¨½6¾F",19,10,2,"R_cat"
"«Ø®õ¨½7¾F",32,9,5,"R_cat"
"«Ø®õ¨½8¾F",30,33,1,"P_cat"
"«Ø®õ¨½9¾F",3,1,0,"R_cat"
"«Ø°ê¨½1¾F",53,34,6,"R_cat"
"«Ø°ê¨½2¾F",20,9,0,"R_cat"
"«Ø°ê¨½3¾F",30,16,4,"R_cat"
"«Ø°ê¨½5¾F",27,12,4,"R_cat"
"«Ø°ê¨½6¾F",178,136,31,"R_cat"
"«á´ä¨½10¾F",7,2,0,"R_cat"
"«á´ä¨½11¾F",23,13,8,"R_cat"
"«á´ä¨½12¾F",8,1,2,"R_cat"
"«á´ä¨½13¾F",20,2,0,"R_cat"
"«á´ä¨½14¾F",24,8,2,"R_cat"
"«á´ä¨½15¾F",3,0,2,"R_cat"
"«á´ä¨½16¾F",8,3,1,"R_cat"
"«á´ä¨½17¾F",22,7,2,"R_cat"
"«á´ä¨½18¾F",7,3,1,"R_cat"
"«á´ä¨½19¾F",14,5,0,"R_cat"
"«á´ä¨½1¾F",4,0,0,"R_cat"
"«á´ä¨½20¾F",11,7,3,"R_cat"
"«á´ä¨½21¾F",45,15,7,"R_cat"
"«á´ä¨½22¾F",4,2,2,"R_cat"
"«á´ä¨½23¾F",8,0,2,"R_cat"
"«á´ä¨½24¾F",1,0,0,"R_cat"
"«á´ä¨½25¾F",1,2,0,"P_cat"
"«á´ä¨½2¾F",8,2,1,"R_cat"
"«á´ä¨½3¾F",6,0,0,"R_cat"
"«á´ä¨½4¾F",1,2,2,"M_cat"
"«á´ä¨½5¾F",25,10,7,"R_cat"
"«á´ä¨½6¾F",29,16,9,"R_cat"
"«á´ä¨½7¾F",13,6,1,"R_cat"
"«á´ä¨½8¾F",2,1,0,"R_cat"
"«á´ä¨½9¾F",10,3,2,"R_cat"
"«í¦w¨½10¾F",11,7,2,"R_cat"
"«í¦w¨½11¾F",50,18,1,"R_cat"
"«í¦w¨½12¾F",22,11,1,"R_cat"
"«í¦w¨½13¾F",24,6,3,"R_cat"
"«í¦w¨½14¾F",31,17,9,"R_cat"
"«í¦w¨½15¾F",18,4,5,"R_cat"
"«í¦w¨½1¾F",43,18,8,"R_cat"
"«í¦w¨½2¾F",15,4,0,"R_cat"
"«í¦w¨½3¾F",12,1,0,"R_cat"
"«í¦w¨½4¾F",22,4,2,"R_cat"
"«í¦w¨½5¾F",15,1,1,"R_cat"
"«í¦w¨½6¾F",15,2,1,"R_cat"
"«í¦w¨½7¾F",75,55,5,"R_cat"
"«í¦w¨½8¾F",8,7,2,"R_cat"
"«í¦w¨½9¾F",28,3,1,"R_cat"
"«ü«n¨½10¾F",1,0,0,"R_cat"
"«ü«n¨½11¾F",1,0,0,"R_cat"
"«ü«n¨½13¾F",1,0,1,"R_cat"
"«ü«n¨½14¾F",0,1,2,"M_cat"
"«ü«n¨½15¾F",5,2,1,"R_cat"
"«ü«n¨½16¾F",0,1,0,"P_cat"
"«ü«n¨½17¾F",10,5,1,"R_cat"
"«ü«n¨½2¾F",1,2,1,"P_cat"
"«ü«n¨½5¾F",1,1,0,"P_cat"
"«ü«n¨½6¾F",4,0,0,"R_cat"
"«ü«n¨½7¾F",12,0,0,"R_cat"
"«ü«n¨½8¾F",11,0,0,"R_cat"
"«ü«n¨½9¾F",6,0,0,"R_cat"
"¬F¤j¨½10¾F",2,0,0,"R_cat"
"¬F¤j¨½11¾F",3,2,0,"R_cat"
"¬F¤j¨½12¾F",1,0,0,"R_cat"
"¬F¤j¨½13¾F",3,3,0,"R_cat"
"¬F¤j¨½14¾F",5,1,0,"R_cat"
"¬F¤j¨½15¾F",4,0,0,"R_cat"
"¬F¤j¨½16¾F",2,0,1,"R_cat"
"¬F¤j¨½17¾F",1,0,0,"R_cat"
"¬F¤j¨½18¾F",2,2,0,"P_cat"
"¬F¤j¨½19¾F",2,2,0,"R_cat"
"¬F¤j¨½1¾F",16,3,0,"R_cat"
"¬F¤j¨½20¾F",6,1,0,"R_cat"
"¬F¤j¨½3¾F",1,1,0,"R_cat"
"¬F¤j¨½4¾F",0,1,0,"P_cat"
"¬F¤j¨½6¾F",3,1,0,"R_cat"
"¬F¤j¨½7¾F",4,1,1,"R_cat"
"¬F¤j¨½8¾F",3,1,0,"R_cat"
"¬F¤j¨½9¾F",3,3,1,"R_cat"
"¬P©ú¨½10¾F",22,4,4,"R_cat"
"¬P©ú¨½11¾F",8,6,0,"R_cat"
"¬P©ú¨½12¾F",19,7,2,"R_cat"
"¬P©ú¨½13¾F",27,10,2,"R_cat"
"¬P©ú¨½14¾F",11,4,1,"R_cat"
"¬P©ú¨½15¾F",6,0,1,"R_cat"
"¬P©ú¨½16¾F",4,5,0,"P_cat"
"¬P©ú¨½17¾F",14,4,1,"R_cat"
"¬P©ú¨½18¾F",2,1,0,"R_cat"
"¬P©ú¨½19¾F",14,6,0,"R_cat"
"¬P©ú¨½1¾F",20,13,2,"R_cat"
"¬P©ú¨½20¾F",6,4,1,"R_cat"
"¬P©ú¨½21¾F",21,10,2,"R_cat"
"¬P©ú¨½2¾F",14,6,0,"R_cat"
"¬P©ú¨½3¾F",5,2,0,"R_cat"
"¬P©ú¨½4¾F",11,3,1,"R_cat"
"¬P©ú¨½5¾F",13,1,0,"R_cat"
"¬P©ú¨½6¾F",23,9,1,"R_cat"
"¬P©ú¨½7¾F",8,1,0,"R_cat"
"¬P©ú¨½8¾F",10,2,1,"R_cat"
"¬P©ú¨½9¾F",17,9,2,"R_cat"
"¬h¶m¨½10¾F",2,0,0,"R_cat"
"¬h¶m¨½11¾F",4,1,0,"R_cat"
"¬h¶m¨½12¾F",3,0,1,"R_cat"
"¬h¶m¨½13¾F",2,0,1,"R_cat"
"¬h¶m¨½14¾F",7,1,1,"R_cat"
"¬h¶m¨½15¾F",2,0,0,"R_cat"
"¬h¶m¨½16¾F",2,0,1,"R_cat"
"¬h¶m¨½17¾F",4,2,1,"R_cat"
"¬h¶m¨½18¾F",6,4,6,"M_cat"
"¬h¶m¨½19¾F",10,5,3,"R_cat"
"¬h¶m¨½1¾F",7,4,1,"R_cat"
"¬h¶m¨½2¾F",2,1,1,"R_cat"
"¬h¶m¨½3¾F",4,2,0,"R_cat"
"¬h¶m¨½4¾F",14,5,3,"R_cat"
"¬h¶m¨½5¾F",1,0,1,"R_cat"
"¬h¶m¨½6¾F",2,1,1,"R_cat"
"¬h¶m¨½7¾F",5,0,0,"R_cat"
"¬h¶m¨½8¾F",2,0,4,"M_cat"
"¬h¶m¨½9¾F",3,5,0,"P_cat"
"¬u·½¨½12¾F",1,0,1,"R_cat"
"¬u·½¨½13¾F",1,0,0,"R_cat"
"¬u·½¨½1¾F",2,1,0,"R_cat"
"¬u·½¨½3¾F",1,1,0,"P_cat"
"¬w¬ü¨½10¾F",1,1,0,"R_cat"
"¬w¬ü¨½1¾F",1,0,0,"R_cat"
"¬w¬ü¨½3¾F",1,1,0,"R_cat"
"¬w¬ü¨½4¾F",1,0,0,"R_cat"
"¬w¬ü¨½6¾F",1,0,0,"R_cat"
"¬w¬ü¨½9¾F",3,1,0,"R_cat"
"¬ü¤¯¨½10¾F",37,32,3,"R_cat"
"¬ü¤¯¨½11¾F",19,18,4,"R_cat"
"¬ü¤¯¨½1¾F",10,5,0,"R_cat"
"¬ü¤¯¨½2¾F",6,2,0,"R_cat"
"¬ü¤¯¨½3¾F",4,1,0,"R_cat"
"¬ü¤¯¨½4¾F",77,41,8,"R_cat"
"¬ü¤¯¨½5¾F",26,14,6,"R_cat"
"¬ü¤¯¨½6¾F",3,0,0,"R_cat"
"¬ü¤¯¨½7¾F",9,2,2,"R_cat"
"¬ü¤¯¨½8¾F",10,0,0,"R_cat"
"¬ü¤¯¨½9¾F",5,2,2,"R_cat"
"­«¶§¨½10¾F",6,3,1,"R_cat"
"­«¶§¨½11¾F",2,4,0,"P_cat"
"­«¶§¨½12¾F",3,2,0,"R_cat"
"­«¶§¨½13¾F",2,0,1,"R_cat"
"­«¶§¨½14¾F",1,3,0,"P_cat"
"­«¶§¨½1¾F",45,19,3,"R_cat"
"­«¶§¨½2¾F",2,0,0,"R_cat"
"­«¶§¨½3¾F",4,1,1,"R_cat"
"­«¶§¨½6¾F",3,0,0,"R_cat"
"­«¶§¨½7¾F",15,8,1,"R_cat"
"­«¶§¨½8¾F",3,1,1,"R_cat"
"­«¶§¨½9¾F",3,2,1,"R_cat"
"­«¼y¨½10¾F",9,6,3,"R_cat"
"­«¼y¨½11¾F",7,6,1,"R_cat"
"­«¼y¨½12¾F",6,3,1,"R_cat"
"­«¼y¨½13¾F",3,3,1,"R_cat"
"­«¼y¨½14¾F",6,4,3,"R_cat"
"­«¼y¨½15¾F",15,2,2,"R_cat"
"­«¼y¨½16¾F",4,1,4,"M_cat"
"­«¼y¨½18¾F",2,0,0,"R_cat"
"­«¼y¨½19¾F",14,1,1,"R_cat"
"­«¼y¨½1¾F",3,2,0,"R_cat"
"­«¼y¨½20¾F",6,3,3,"R_cat"
"­«¼y¨½21¾F",1,0,0,"R_cat"
"­«¼y¨½2¾F",6,1,0,"R_cat"
"­«¼y¨½5¾F",3,1,1,"R_cat"
"­«¼y¨½6¾F",5,2,5,"M_cat"
"­«¼y¨½7¾F",11,3,4,"R_cat"
"­«¼y¨½8¾F",0,1,0,"P_cat"
"­«¼y¨½9¾F",2,0,0,"R_cat"
"­â¾]¨½10¾F",1,1,0,"P_cat"
"­â¾]¨½11¾F",3,0,0,"R_cat"
"­â¾]¨½12¾F",1,0,0,"R_cat"
"­â¾]¨½14¾F",2,1,0,"R_cat"
"­â¾]¨½2¾F",4,1,0,"R_cat"
"­â¾]¨½3¾F",3,2,0,"R_cat"
"­â¾]¨½4¾F",0,0,1,"M_cat"
"­â¾]¨½5¾F",5,1,1,"R_cat"
"­â¾]¨½7¾F",0,2,0,"P_cat"
"­â¾]¨½8¾F",1,0,0,"R_cat"
"­â¾]¨½9¾F",4,0,0,"R_cat"
"®¶µØ¨½10¾F",3,0,0,"R_cat"
"®¶µØ¨½11¾F",17,3,0,"R_cat"
"®¶µØ¨½12¾F",10,6,0,"R_cat"
"®¶µØ¨½13¾F",7,3,0,"R_cat"
"®¶µØ¨½14¾F",7,6,0,"R_cat"
"®¶µØ¨½15¾F",6,0,0,"R_cat"
"®¶µØ¨½16¾F",2,0,1,"R_cat"
"®¶µØ¨½17¾F",31,7,3,"R_cat"
"®¶µØ¨½18¾F",12,0,0,"R_cat"
"®¶µØ¨½19¾F",32,4,2,"R_cat"
"®¶µØ¨½1¾F",4,3,1,"R_cat"
"®¶µØ¨½20¾F",7,2,2,"R_cat"
"®¶µØ¨½21¾F",4,2,0,"R_cat"
"®¶µØ¨½22¾F",1,0,1,"M_cat"
"®¶µØ¨½23¾F",4,1,1,"R_cat"
"®¶µØ¨½24¾F",11,8,2,"R_cat"
"®¶µØ¨½25¾F",3,0,0,"R_cat"
"®¶µØ¨½26¾F",0,0,1,"M_cat"
"®¶µØ¨½27¾F",8,8,2,"R_cat"
"®¶µØ¨½2¾F",2,1,0,"R_cat"
"®¶µØ¨½3¾F",1,0,0,"R_cat"
"®¶µØ¨½4¾F",5,0,3,"R_cat"
"®¶µØ¨½5¾F",5,3,2,"R_cat"
"®¶µØ¨½6¾F",6,0,0,"R_cat"
"®¶µØ¨½7¾F",4,0,0,"R_cat"
"®¶µØ¨½8¾F",2,0,1,"R_cat"
"®¶µØ¨½9¾F",2,0,0,"R_cat"
"®ç·½¨½10¾F",3,1,0,"R_cat"
"®ç·½¨½12¾F",2,0,0,"R_cat"
"®ç·½¨½13¾F",6,0,2,"R_cat"
"®ç·½¨½14¾F",8,2,1,"R_cat"
"®ç·½¨½15¾F",7,2,5,"R_cat"
"®ç·½¨½16¾F",0,1,0,"P_cat"
"®ç·½¨½17¾F",10,3,4,"R_cat"
"®ç·½¨½1¾F",3,1,1,"R_cat"
"®ç·½¨½2¾F",8,0,2,"R_cat"
"®ç·½¨½3¾F",9,0,2,"R_cat"
"®ç·½¨½4¾F",22,3,2,"R_cat"
"®ç·½¨½5¾F",7,3,2,"R_cat"
"®ç·½¨½6¾F",2,0,0,"R_cat"
"®ç·½¨½7¾F",3,2,1,"R_cat"
"®ç·½¨½8¾F",6,1,0,"R_cat"
"®ç·½¨½9¾F",7,2,2,"R_cat"
"®õ©M¨½12¾F",4,0,1,"R_cat"
"®õ©M¨½13¾F",1,0,1,"M_cat"
"®õ©M¨½14¾F",2,1,1,"R_cat"
"®õ©M¨½18¾F",5,3,1,"R_cat"
"®õ©M¨½1¾F",1,2,0,"P_cat"
"®õ©M¨½20¾F",0,3,1,"P_cat"
"®õ©M¨½21¾F",7,4,1,"R_cat"
"®õ©M¨½22¾F",3,0,0,"R_cat"
"®õ©M¨½23¾F",2,3,2,"P_cat"
"®õ©M¨½24¾F",8,3,3,"R_cat"
"®õ©M¨½25¾F",2,1,0,"R_cat"
"®õ©M¨½26¾F",8,3,1,"R_cat"
"®õ©M¨½27¾F",1,1,0,"R_cat"
"®õ©M¨½28¾F",5,8,2,"P_cat"
"®õ©M¨½29¾F",3,0,1,"R_cat"
"®õ©M¨½2¾F",14,6,1,"R_cat"
"®õ©M¨½3¾F",4,1,1,"R_cat"
"®õ©M¨½5¾F",2,1,1,"R_cat"
"®õ©M¨½6¾F",2,1,0,"R_cat"
"®õ©M¨½7¾F",0,0,1,"M_cat"
"®õ©M¨½8¾F",1,0,0,"R_cat"
"®õ©M¨½9¾F",2,1,1,"R_cat"
"°ê¶¶¨½10¾F",2,0,1,"R_cat"
"°ê¶¶¨½11¾F",4,1,0,"R_cat"
"°ê¶¶¨½12¾F",6,1,0,"R_cat"
"°ê¶¶¨½13¾F",8,3,2,"R_cat"
"°ê¶¶¨½14¾F",1,0,0,"R_cat"
"°ê¶¶¨½15¾F",6,0,0,"R_cat"
"°ê¶¶¨½1¾F",6,2,2,"R_cat"
"°ê¶¶¨½2¾F",1,0,0,"R_cat"
"°ê¶¶¨½3¾F",20,13,4,"R_cat"
"°ê¶¶¨½4¾F",7,0,0,"R_cat"
"°ê¶¶¨½5¾F",2,1,1,"R_cat"
"°ê¶¶¨½6¾F",2,1,0,"R_cat"
"°ê¶¶¨½7¾F",4,0,1,"R_cat"
"°ê¶¶¨½8¾F",8,2,0,"R_cat"
"°ê¶¶¨½9¾F",1,0,0,"R_cat"
"°ê·~¨½10¾F",12,5,2,"R_cat"
"°ê·~¨½11¾F",4,3,0,"R_cat"
"°ê·~¨½12¾F",9,7,4,"R_cat"
"°ê·~¨½13¾F",8,5,0,"R_cat"
"°ê·~¨½14¾F",18,7,1,"R_cat"
"°ê·~¨½15¾F",11,2,1,"R_cat"
"°ê·~¨½16¾F",6,2,2,"R_cat"
"°ê·~¨½17¾F",1,1,0,"P_cat"
"°ê·~¨½18¾F",7,3,1,"R_cat"
