"admin","R_cat","P_cat","M_cat","max_cat"
"¤T­«¨½33¾F",6,4,1,"R_cat"
"¤T­«¨½34¾F",1,1,0,"P_cat"
"¤T­«¨½4¾F",10,3,3,"R_cat"
"¤T­«¨½5¾F",6,1,1,"R_cat"
"¤T­«¨½6¾F",4,3,1,"R_cat"
"¤T­«¨½7¾F",2,0,0,"R_cat"
"¤T­«¨½8¾F",4,0,1,"R_cat"
"¤T­«¨½9¾F",7,0,1,"R_cat"
"¤T±i¨½10¾F",7,6,3,"R_cat"
"¤T±i¨½11¾F",4,2,0,"R_cat"
"¤T±i¨½12¾F",3,2,0,"R_cat"
"¤T±i¨½13¾F",7,1,3,"R_cat"
"¤T±i¨½14¾F",3,0,0,"R_cat"
"¤T±i¨½15¾F",17,3,3,"R_cat"
"¤T±i¨½16¾F",10,1,0,"R_cat"
"¤T±i¨½17¾F",5,2,0,"R_cat"
"¤T±i¨½18¾F",4,2,0,"R_cat"
"¤T±i¨½19¾F",9,0,0,"R_cat"
"¤T±i¨½1¾F",4,1,0,"R_cat"
"¤T±i¨½20¾F",9,1,2,"R_cat"
"¤T±i¨½21¾F",9,3,1,"R_cat"
"¤T±i¨½22¾F",11,7,1,"R_cat"
"¤T±i¨½23¾F",4,0,0,"R_cat"
"¤T±i¨½24¾F",12,3,4,"R_cat"
"¤T±i¨½25¾F",10,2,0,"R_cat"
"¤T±i¨½26¾F",5,1,0,"R_cat"
"¤T±i¨½27¾F",7,2,2,"R_cat"
"¤T±i¨½28¾F",5,1,0,"R_cat"
"¤T±i¨½29¾F",13,3,2,"R_cat"
"¤T±i¨½2¾F",9,0,1,"R_cat"
"¤T±i¨½30¾F",13,4,0,"R_cat"
"¤T±i¨½31¾F",8,3,2,"R_cat"
"¤T±i¨½32¾F",14,4,1,"R_cat"
"¤T±i¨½33¾F",20,9,1,"R_cat"
"¤T±i¨½34¾F",12,12,3,"R_cat"
"¤T±i¨½35¾F",2,3,0,"P_cat"
"¤T±i¨½36¾F",3,6,0,"P_cat"
"¤T±i¨½3¾F",7,5,0,"R_cat"
"¤T±i¨½4¾F",2,0,0,"R_cat"
"¤T±i¨½5¾F",3,1,2,"R_cat"
"¤T±i¨½6¾F",1,1,0,"P_cat"
"¤T±i¨½7¾F",2,1,0,"R_cat"
"¤T±i¨½8¾F",13,4,0,"R_cat"
"¤T±i¨½9¾F",3,2,2,"R_cat"
"¤T²p¨½10¾F",1,2,0,"P_cat"
"¤T²p¨½11¾F",3,0,0,"R_cat"
"¤T²p¨½12¾F",7,8,1,"P_cat"
